商品,条码,批发价,零售价,需求量,订购量,金额,厂家名称
白沙(和天下)	,6901028196925,848.0,1000.0,3,3.0,2544.0,湖南中烟工业有限责任公司	
白沙(硬和天下尊享)	,6901028063036,763.2,1000.0,1,1.0,763.2,湖南中烟工业有限责任公司	
白沙(硬和天下双中支)	,6901028204804,763.2,1000.0,1,1.0,763.2,湖南中烟工业有限责任公司	
钻石(荷花)	,6901028079952,275.6,350.0,1,1.0,275.6,河北中烟工业有限责任公司	
中华(硬)	,6901028075763,381.6,450.0,1,1.0,381.6,上海烟草（集团）公司	
黄山(徽商新概念细支)	,6901028125970,339.2,500.0,1,1.0,339.2,安徽中烟工业有限责任公司	
黄鹤楼(硬峡谷情细支)	,6901028188012,263.0,400.0,1,1.0,263.0,湖北中烟工业有限责任公司	
白沙(硬和气生财)	,6901028201445,477.0,550.0,1,1.0,477.0,湖南中烟工业有限责任公司	
芙蓉王(蓝) 	,6901028193856,307.4,350.0,1,3.0,922.2,湖南中烟工业有限责任公司	
芙蓉王(硬蓝新版)	,6901028063876,300.0,350.0,1,3.0,900.0,湖南中烟工业有限责任公司	
芙蓉王(硬领航)	,6901028064927,424.0,500.0,1,1.0,424.0,湖南中烟工业有限责任公司	
芙蓉王(硬红宝石)	,6901028205627,263.0,320.0,1,1.0,263.0,湖南中烟工业有限责任公司	
苏烟(五星红杉树)	,6901028062008,188.68,220.0,1,1.0,188.68,江苏中烟工业有限责任公司	
利群(长嘴)	,6901028118811,190.8,220.0,1,1.0,190.8,浙江中烟工业有限责任公司	
七匹狼(软灰)	,6901028138505,185.5,210.0,1,1.0,185.5,福建中烟工业有限责任公司	
芙蓉王(硬) 	,6901028193498,218.36,250.0,50,50.0,10918.0,湖南中烟工业有限责任公司	
芙蓉王(硬中支)	,6901028204828,263.0,300.0,5,5.0,1315.0,湖南中烟工业有限责任公司	
双喜(硬红五叶神*)	,6901028005203,184.44,220.0,1,1.0,184.44,广东中烟工业有限责任公司	
贵烟(跨越)	,6901028221443,201.4,250.0,2,2.0,402.8,贵州中烟工业有限责任公司	
利群(楼外楼)	,6901028121729,175.0,220.0,2,2.0,350.0,浙江中烟工业有限责任公司	
真龙(起源)	,6901028011778,212.0,250.0,1,1.0,212.0,广西中烟工业有限责任公司	
长白山(777)	,6901028100267,121.9,150.0,1,1.0,121.9,吉林烟草工业有限责任公司	
南京(炫赫门)	,6901028111263,155.0,190.0,2,2.0,310.0,江苏中烟工业有限责任公司	
利群(新版) 	,6901028118170,143.1,180.0,4,4.0,572.4,浙江中烟工业有限责任公司	
黄山(新制皖烟)	,6901028225168,121.9,140.0,1,1.0,121.9,安徽中烟工业有限责任公司	
白沙(硬天天向上细支)	,6901028192095,129.3,150.0,1,1.0,129.3,湖南中烟工业有限责任公司	
白沙(硬精品三代)	,6901028192729,129.3,150.0,4,4.0,517.2,湖南中烟工业有限责任公司	
白沙(硬红运当头)	,6901028063692,143.1,200.0,2,2.0,286.2,湖南中烟工业有限责任公司	
双喜(硬经典1906)	,6901028001618,150.52,180.0,1,1.0,150.52,广东中烟工业有限责任公司	
双喜(硬金五叶神*)	,6901028005029,121.9,150.0,1,1.0,121.9,广东中烟工业有限责任公司	
云烟(紫) 	,6901028046886,114.5,130.0,2,2.0,229.0,云南中烟工业有限责任公司	
云烟(细支云龙)	,6901028339940,129.3,150.0,1,1.0,129.3,云南中烟工业有限责任公司	
兰州(硬珍品)	,6901028065498,155.0,180.0,2,2.0,310.0,甘肃烟草工业有限责任公司	
利群(夜西湖)	,6901028121514,158.0,200.0,2,2.0,316.0,浙江中烟工业有限责任公司	
利群(软蓝)*	,6901028216166,159.0,180.0,1,1.0,159.0,浙江中烟工业有限责任公司	
泰山(青秀)	,6901028159562,121.9,140.0,1,1.0,121.9,山东中烟工业有限责任公司	
双喜(莲香)	,6901028005142,129.3,150.0,2,2.0,258.6,广东中烟工业有限责任公司	
双喜(花悦)	,6901028008457,139.92,160.0,1,1.0,139.92,广东中烟工业有限责任公司	
云烟(硬云龙)	,6901028339896,129.3,150.0,2,2.0,258.6,云南中烟工业有限责任公司	
白沙(软) 	,6901028191012,61.5,90.0,2,2.0,123.0,湖南中烟工业有限责任公司	
白沙(硬) 	,6901028191029,61.5,90.0,1,1.0,61.5,湖南中烟工业有限责任公司	
白沙(精品) 	,6901028191043,80.0,110.0,2,2.0,160.0,湖南中烟工业有限责任公司	
白沙(硬新精品二代)	,6901028063364,97.0,120.0,3,3.0,291.0,湖南中烟工业有限责任公司	
双喜(软经典)	,6901028000826,97.0,120.0,4,4.0,388.0,广东中烟工业有限责任公司	
娇子(软阳光)	,6901028084314,88.0,100.0,1,1.0,88.0,四川中烟工业有限责任公司	
贵烟(金百合)	,6901028221627,88.0,100.0,2,2.0,176.0,贵州中烟工业有限责任公司	
云烟(软紫)	,6901028311151,90.1,110.0,4,4.0,360.4,云南中烟工业有限责任公司	
钻石(硬红)	,6901028080347,71.0,90.0,1,1.0,71.0,河北中烟工业有限责任公司	
红塔山(新时代)	,6901028316880,88.0,100.0,2,2.0,176.0,云南中烟工业有限责任公司	
